Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
282130,Yufu-Tsurumi,Japan,Lava dome(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),867.0,1159.0,True
225060,Bayuda Volcanic Field,Sudan,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),850.0,1176.0,True
300551,Kinenin,Russia,Maar,Monogenetic / field,Subduction zone / Continental crust (> 25 km),850.0,1176.0,True
315030,Churchill,United States,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),847.0,1179.0,True
284030,Kozushima,Japan,Lava dome(s),Monogenetic / field,Subduction zone / Oceanic crust (< 15 km),838.0,1188.0,True
283200,Naruko,Japan,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),837.0,1189.0,True
355130,"Ojos del Salado, Nevados",Chile-Argentina,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),750.0,1276.0,True
302060,Jombolok,Russia,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),737.0,1289.0,True
322110,Newberry,United States,Shield,Shield,Subduction zone / Continental crust (> 25 km),690.0,1336.0,True
322030,Blue Lake Crater,United States,Maar,Monogenetic / field,Subduction zone / Continental crust (> 25 km),680.0,1346.0,True
231060,"Khaybar, Harrat",Saudi Arabia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),650.0,1376.0,True
352003,Cuicocha,Ecuador,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),650.0,1376.0,True
283002,Sanbesan,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),650.0,1376.0,True
281032,Tatun Volcanic Group,Taiwan,Lava dome(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),648.0,1378.0,True
357122,Lanin,Chile-Argentina,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),560.0,1466.0,True
283122,Harunasan,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),550.0,1476.0,True
352071,Chimborazo,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),550.0,1476.0,True
231090,"Arhab, Harra of",Yemen,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),500.0,1526.0,True
322060,Belknap,United States,Shield(s),Shield,Subduction zone / Continental crust (> 25 km),475.0,1551.0,True
244020,Tutuila,United States,Tuff cone(s),Monogenetic / field,Subduction zone / Oceanic crust (< 15 km),440.0,1586.0,True
322070,Three Sisters,United States,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),439.0,1587.0,True
341080,Chichinautzin,Mexico,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),399.0,1627.0,True
300121,Veer,Russia,Pyroclastic cone(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),390.0,1636.0,True
305050,Longgang Group,China,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),350.0,1676.0,True
300022,Diky Greben,Russia,Lava dome(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),350.0,1676.0,True
358023,Hornopiren,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),340.0,1686.0,True
300082,Tolmachev Dol,Russia,Pyroclastic cone(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),300.0,1726.0,True
314060,Imuruk Lake,United States,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),300.0,1726.0,True
355012,Parinacota,Chile-Bolivia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),290.0,1736.0,True
352011,Pululahua,Ecuador,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),290.0,1736.0,True
241070,Taupo,New Zealand,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),260.0,1766.0,True
357121,Quetrupillan,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),255.0,1771.0,True
360020,"Quill, The",Netherlands,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),250.0,1776.0,True
